O3P API Third Party Software
===========================

The source code of the open source software used in the O3P API is available 
upon request. Please contact info@pmdtec.com.

The source version of the O3P API contains the following third party software:

| Third Party package                       | License name                                                      | License file                                             | Comments                                           |
|-------------------------------------------|-------------------------------------------------------------------|----------------------------------------------------------|----------------------------------------------------|
| Depth2PCL                                 | Spectre License                                                   | doc/licenses/api/spectre_license.txt                     | Used to calculate the point cloud from depth       |
| Kiss FFT                                  | 3-clause BSD-style license                                        | doc/licenses/api/kissfft_license.txt                     | Used by Spectre                                    |
| pffft                                     | 3-clause BSD-style license                                        | doc/licenses/api/pffft_license.txt                       | Used by Spectre                                    |
| Halide Runtime                            | MIT-style license                                                 | doc/licenses/api/halide_license.txt                      | Used by Spectre                                    |
| PackedArray                               | DWTFYWT license                                                   | doc/licenses/api/packedarray_license.txt                 | Used by Spectre                                    |
| Rosbag                                    | 3-clause BSD-style license                                        | doc/licenses/api/rosbag_license.txt                      | Recording                                          |
| LZ4                                       | 2-clause BSD-style license                                        | doc/licenses/api/lz4_license.txt                         | Recording                                          |
| Realsense-file                            | Apache License Version 2.0                                        | doc/licenses/api/realsense-file_license.txt              | Recording                                          |
| Numpy.i                                   | 3-clause BSD-style license                                        | doc/licenses/api/numpy_license.txt                       | Builds - Used in the Python wrapper                |
| Google Test                               | 3-clause BSD-style license                                        | doc/licenses/internal/googletest_license.txt             | Internal                                           |
| Google Mock                               | 3-clause BSD-style license                                        | doc/licenses/internal/googlemock_license.txt             | Internal                                           |
| Google Mock Generator                     | Apache License Version 2.0                                        | doc/licenses/internal/googlemock_generator_license.txt   | Internal                                           | 
| Google Turbo Colormap                     | Apache License Version 2.0                                        | doc/licenses/api/turbo_license.txt                       | Used to colorize depth                             |
| nlohmann JSON for modern C++              | MIT-style license                                                 | doc/licenses/api/nlohmann_json_license.txt               | Used for camera presets                            |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|

The viewer application uses Qt which uses the following third party libraries:

| Third Party package                       | License name                                                      | License file                                             | Comments                                           |
|-------------------------------------------|-------------------------------------------------------------------|----------------------------------------------------------|----------------------------------------------------|
| Qt                                        | LGPL 3                                                            | doc/licenses/tools/qt_license.txt                        | Used by the GUI applications                       |
| BLAKE2                                    | Creative Commons Zero v1.0 Universal or Apache License 2.0        | doc/licenses/tools/blake2_license.txt                    | Used by Qt Core                                    |
| zlib                                      | zlib license                                                      | doc/licenses/tools/zlib_license.txt                      | Used by Qt Core                                    |
| Easing Equations by Robert Penner         | 3-clause BSD-style license                                        | doc/licenses/tools/easing_equations_license.txt          | Used by Qt Core                                    |
| Efficient Binary-Decimal Conversion       | 3-clause BSD-style license                                        | doc/licenses/tools/binary_decimal_conversion_license.txt | Used by Qt Core                                    |
| KWin, version 5.13.4                      | BSD-3-Clause                                                      | doc/licenses/tools/kwin_license.txt                      | Used by Qt Core                                    |
| MD4                                       | Public Domain                                                     |                                                          | Used by Qt Core                                    |
| MD5                                       | Public Domain                                                     |                                                          | Used by Qt Core                                    |
| FreeBSD strtoll and strtoull              | 3-clause BSD-style license                                        | doc/licenses/tools/strtoll_license.txt                   | Used by Qt Core                                    |
| PCRE2 - Stack-less JIT Compiler           | 2-clause BSD-style simplified license                             | doc/licenses/tools/pcre2_jit_license.txt                 | Used by Qt Core                                    |
| PCRE2                                     | 3-clause BSD-style license                                        | doc/licenses/tools/pcre2_license.txt                     | Used by Qt Core                                    |
| QEventDispatcher on macOS                 | 3-clause BSD-style license                                        | doc/licenses/tools/qeventdispatcher_mac_license.txt      | Used by Qt Core                                    |
| SHA-1                                     | Public Domain                                                     |                                                          | Used by Qt Core                                    |
| SHA-3                                     | Creative Commons Zero v1.0 Universal                              | doc/licenses/tools/sha3_license.txt                      | Used by Qt Core                                    |
| SHA-3 - brg_endian                        | 2-clause BSD-style simplified license                             | doc/licenses/tools/sha3_brg_endian_license.txt           | Used by Qt Core                                    |
| SHA-384 and SHA-512                       | 3-clause BSD-style license                                        | doc/licenses/tools/sha384_sha512_license.txt             | Used by Qt Core                                    |
| SipHash Algorithm                         | Creative Commons Zero v1.0 Universal                              | doc/licenses/tools/siphash_license.txt                   | Used by Qt Core                                    |
| Text Codec: EUC-JP                        | 2-clause BSD-style simplified license                             | doc/licenses/tools/text_euc_jp_license.txt               | Used by Qt Core                                    |
| Text Codec: EUC-KR                        | 2-clause BSD-style simplified license                             | doc/licenses/tools/text_euc_kr_license.txt               | Used by Qt Core                                    |
